listening on 8971
saved shots_raw\01_menu.png 45612 bytes
saved shots_raw\02_gameplay_comboBox.png 45619 bytes
saved shots_raw\03_gameplay_impulso.png 45619 bytes
saved shots_raw\04_nuevo_record.png 45612 bytes
saved shots_raw\05_creditos.png 45612 bytes
saved shots_raw\01_menu.png 579051 bytes
saved shots_raw\02_gameplay_comboBox.png 288321 bytes
saved shots_raw\03_gameplay_impulso.png 324703 bytes
saved shots_raw\04_nuevo_record.png 378220 bytes
saved shots_raw\05_creditos.png 250930 bytes
saved shots_raw\01_menu.png 585127 bytes
saved shots_raw\02_gameplay_comboBox.png 373602 bytes
saved shots_raw\03_gameplay_impulso.png 355579 bytes
saved shots_raw\04_nuevo_record.png 423278 bytes
saved shots_raw\05_creditos.png 256538 bytes
saved shots_raw\01_menu.png 582680 bytes
saved shots_raw\02_gameplay_comboBox.png 360587 bytes
saved shots_raw\03_gameplay_impulso.png 320823 bytes
saved shots_raw\04_nuevo_record.png 326921 bytes
saved shots_raw\05_creditos.png 236542 bytes
saved shots_raw\01_menu.png 591241 bytes
saved shots_raw\02_gameplay_comboBox.png 434820 bytes
saved shots_raw\03_gameplay_impulso.png 400497 bytes
saved shots_raw\04_nuevo_record.png 401590 bytes
saved shots_raw\05_creditos.png 252788 bytes
